,time
MDEC-23,100
MDEO-12,100
maxssO,100
minHBa,100
VCH-5,100
maxdssC,100
VC-5,100
mindssC,100
minHsOH,100
ETA_Shape_Y,100
maxHsOH,100
minHBint5,100
BCUTc-1l,100
minsssN,100
maxHBint8,100
LipoaffinityIndex,100
BCUTc-1h,99
maxHBint5,98
minsOH,97
ATSc3,85
ETA_BetaP_s,83
ETA_EtaP_F,81
SPC-6,77
mindsCH,66
SHsOH,57
